Landkreis Schmalkalden-Meiningen
Freitag, 25. Februar 2022


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            25.02.2022, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          496
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          27.872
Patienten in stationärer Behandlung - Erkrankung an COVID19                                      15
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     16
Verstorbene im Zusammenhang mit COVID19                                                          597
Gesamtzahl abgelaufener Quarantänezeitraum                                                      25.011
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            1337,7
Hospitalisierungsinzidenz laut TMASGFF                                                           20,1
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 7,3
Aktuelle Warnstufe laut TMASGFF                                                                   3
Quarantänefälle

aktive positive Fälle                                                                           2.264


         Aktive Fälle nach Gemeinden
         Belrieth                                         10
         Birx                                             4

         Breitungen/Werra                                 58

         Brotterode-Trusetal                              62

         Christes                                         6

         Dillstädt                                        10

         Einhausen                                        11

         Ellingshausen                                    1

         Erbenhausen                                      20
Fambach                   21

Floh-Seligenthal          68

Frankenheim/Rhön          16

Friedelshausen             6

Grabfeld                  147

Kaltennordheim            79

Kühndorf                  14

Leutersdorf                1

Mehmels                    9

Meiningen                 564

Neubrunn                   8

Oberhof                   18

Obermaßfeld-Grimmenthal   26

Oberweid                  11

Rhönblick                 73

Rippershausen             13

Ritschenhausen             6

Rohr                      14

Rosa                      10

Roßdorf                   10

Schmalkalden              332

Schwallungen              33

Schwarza                  20

Steinbach-Hallenberg      191

Sülzfeld                  30

Untermaßfeld              21

Utendorf                   4

Vachdorf                   8
Wasungen          89

Zella-Mehlis     240

Gesamtergebnis   2.264

