Landkreis Schmalkalden-Meiningen
Freitag, 22. Oktober 2021


COVID-19 Tägliches Lagebild                                                                  x
Stand:                                                   10             22.10.2021, 10 Uhr
Aspekt                                                                                           Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                           48

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                           11.110

Patienten in stationärer Behandlung - Erkrankung an COVID19                                       13

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                      14

Verstorbene im Zusammenhang mit COVID19                                                           384

Gesamtzahl abgelaufener Quarantänezeitraum                                                       10.335


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                 15

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                             206,9

Hospitalisierungsinzidenz laut TMASGFF                                                            8,0

ITS Auslastung Thüringen laut TMASGFF                                                             6,7

Aktuelle Warnstufe laut TMASGFF                                                                    2
Quarantänefälle

aktive positive Fälle                                                                             391



                        Aktive Fälle nach Gemeinden


                        Birx                                           2
                        Breitungen/Werra                               22
                        Brotterode-Trusetal                            5
                        Christes                                       2
                        Dillstädt                                      2
                        Erbenhausen                                    3
                        Fambach                                        1
                        Floh-Seligenthal                               13
                        Frankenheim/Rhön                               17
Friedelshausen             3
Grabfeld                  24
Kaltennordheim            10
Kühndorf                   2
Meiningen                 75
Neubrunn                   3
Obermaßfeld-Grimmenthal    4
Rhönblick                  5
Rippershausen              1
Roßdorf                    3
Schmalkalden              60
Schwallungen              11
Schwarza                  10
Steinbach-Hallenberg      36
Sülzfeld                   4
Untermaßfeld               3
Wasungen                  16
Zella-Mehlis              54
Gesamtergebnis            391

