Landkreis Schmalkalden-Meiningen
Sonntag, 19. Dezember 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            19.12.2021, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          202

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          19.797

Patienten in stationärer Behandlung - Erkrankung an COVID19                                      86

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     26

Verstorbene im Zusammenhang mit COVID19                                                          483

Gesamtzahl abgelaufener Quarantänezeitraum                                                      16.911

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            1003,7

Hospitalisierungsinzidenz laut TMASGFF                                                           29,0

ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 33,0

Aktuelle Warnstufe laut TMASGFF                                                                   4

Quarantänefälle

aktive positive Fälle                                                                           2403



         Aktive Fälle nach Gemeinden
         Zeilenbeschriftungen

         Belrieth                                         19

         Birx                                             1

         Breitungen/Werra                                 91

         Brotterode-Trusetal                             182

         Christes                                         15

         Dillstädt                                        17

         Einhausen                                        11

         Ellingshausen                                    8
Erbenhausen               16

Fambach                   47

Floh-Seligenthal          157

Frankenheim/Rhön           6

Friedelshausen             1

Grabfeld                  115

Kaltennordheim            70

Kühndorf                  29

Leutersdorf                7

Meiningen                 357

Neubrunn                   5

Oberhof                   38

Obermaßfeld-Grimmenthal   40

Oberweid                   6

Rhönblick                 44

Rippershausen             17

Ritschenhausen            12

Rohr                      18

Rosa                      19

Roßdorf                    8

Schmalkalden              446

Schwallungen              26

Schwarza                  31

Steinbach-Hallenberg      180

Sülzfeld                   7

Untermaßfeld              16

Utendorf                   6

Vachdorf                  19
Wasungen          71
Zella-Mehlis     245
Gesamtergebnis   2403

