Landkreis Schmalkalden-Meiningen
Freitag, 11. März 2022


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            11.03.2022, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          682
Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          32.092
Patienten in stationärer Behandlung - Erkrankung an COVID19                                      25
Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     32
Verstorbene im Zusammenhang mit COVID19                                                          616
Gesamtzahl abgelaufener Quarantänezeitraum                                                      28.510
7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            1644,0
Hospitalisierungsinzidenz laut TMASGFF                                                           38,6
ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 7,7
Aktuelle Warnstufe laut TMASGFF                                                             Basisstufe *
Quarantänefälle

aktive positive Fälle                                                                           2.966

         * laut Maßnahmenschutzverordnung




         Aktive Fälle nach Gemeinden

         Belrieth                                  5

         Birx                                      3
         Breitungen/Werra                        138
         Brotterode-Trusetal                     112

         Christes                                  17
         Dillstädt                                 29
         Einhausen                                 3
         Ellingshausen                             1
Erbenhausen                9

Fambach                    41
Floh-Seligenthal          141
Frankenheim/Rhön           8

Friedelshausen             3
Grabfeld                  120
Kaltennordheim            122
Kühndorf                   35

Mehmels                    4
Meiningen                 693
Neubrunn                   18

Oberhof                    43

Obermaßfeld-Grimmenthal    18
Oberweid                   9
Rhönblick                  47
Rippershausen              11
Ritschenhausen             17

Rohr                       15

Rosa                       4
Roßdorf                    5
Schmalkalden              389

Schwallungen               25
Schwarza                   27
Steinbach-Hallenberg      294
Sülzfeld                   30

Untermaßfeld               37
Utendorf                   14
Vachdorf                   14
Wasungen                  114
Zella-Mehlis              351
Gesamtergebnis            2.966

