Landkreis Schmalkalden-Meiningen
Dienstag, 02. November 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            02.11.2021, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          66

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          11.691

Patienten in stationärer Behandlung - Erkrankung an COVID19                                      34

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     10

Verstorbene im Zusammenhang mit COVID19                                                          389

Gesamtzahl abgelaufener Quarantänezeitraum                                                      10.718


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                27

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            357,4

Hospitalisierungsinzidenz laut TMASGFF                                                           4,8

ITS Auslastung Thüringen laut TMASGFF                                                            12,6

Aktuelle Warnstufe laut TMASGFF                                                                   3
Quarantänefälle

aktive positive Fälle                                                                            584



         Aktive Fälle nach Gemeinden
                                             Anzahl von
         Zeilenbeschriftungen                fallFallkennzeichen

         Birx                                            1

         Breitungen/Werra                                17

         Brotterode-Trusetal                             8

         Einhausen                                       1

         Erbenhausen                                     6

         Fambach                                         1

         Floh-Seligenthal                                51
Frankenheim/Rhön          16

Friedelshausen             3

Grabfeld                  21

Kaltennordheim            14

Kühndorf                   2

Meiningen                 151

Neubrunn                   1

Oberhof                    1

Obermaßfeld-Grimmenthal    3

Oberweid                   1

Rhönblick                  5

Rippershausen              4

Ritschenhausen             3

Rohr                       2

Rosa                       2

Roßdorf                    1

Schmalkalden              66

Schwallungen              12

Schwarza                  10

Steinbach-Hallenberg      57

Sülzfeld                   2

Untermaßfeld              14

Utendorf                   2

Wasungen                  41

Zella-Mehlis              65

Gesamtergebnis            584

