Landkreis Schmalkalden-Meiningen
Dienstag, 30. November 2021


COVID-19 Tägliches Lagebild                                                                 x
Stand:                                                   10            30.11.2021, 10 Uhr
Aspekt                                                                                          Anzahl

Befundeingänge seit der letzten Lagemeldung (Meldedatum kann abweichen)                          281

Gesamtzahl der bisher Infizierten mit Laborbestätigung                                          15.749

Patienten in stationärer Behandlung - Erkrankung an COVID19                                      59

Patienten in stationärer Behandlung - Erkrankung mit COVID19                                     30

Verstorbene im Zusammenhang mit COVID19                                                          436

Gesamtzahl abgelaufener Quarantänezeitraum                                                      13.378


Gesamt-COVID19 Tests seit der letzten Lagemeldung durch den Fachdienst Gesundheit                 11

7-Tage-Inzidenz pro 100.000 Einwohner (nach RKI, mit Stand 0:00 Uhr)                            998,9

Hospitalisierungsinzidenz laut TMASGFF                                                           16,9

ITS Auslastung Thüringen laut TMASGFF in Prozent                                                 31,6

Aktuelle Warnstufe laut TMASGFF                                                                   3
Quarantänefälle

aktive positive Fälle                                                                           1935




         Aktive Fälle nach Gemeinden
         Zeilenbeschriftungen

         Belrieth                                         3

         Birx                                             1

         Breitungen/Werra                                65

         Brotterode-Trusetal                             99

         Christes                                        12

         Dillstädt                                        3
Einhausen                  2

Erbenhausen                7

Fambach                   28

Floh-Seligenthal          150

Frankenheim/Rhön           6

Friedelshausen             8

Grabfeld                  63

Kaltennordheim            49

Kühndorf                  21

Mehmels                    3

Meiningen                 321

Neubrunn                  10

Oberhof                    8

Obermaßfeld-Grimmenthal   20

Oberweid                  10

Rhönblick                 32

Rippershausen             11

Ritschenhausen             7

Rohr                      16

Rosa                      11

Roßdorf                    2

Schmalkalden              382

Schwallungen              51

Schwarza                  13

Steinbach-Hallenberg      210

Sülzfeld                  10

Untermaßfeld               9

Utendorf                   3
Vachdorf          15

Wasungen          89

Zella-Mehlis     185
Gesamtergebnis   1935

